등록일,제목,링크
2023-02-14,금융권 취업 '삼성생명 금융아카데미' 2월 교육생 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2395
2023-02-14,2023 대한민국 채용박람회,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2394
2023-02-14,[과학기술정보통신부] 한국여성과학기술인육성재단(WISET) '글로벌 멘토링 프로그램' 참여학생 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2393
2023-02-13,「마을로 플러스+ 프로젝트」 청년활동가 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2391
2023-02-13,[KOTRA] 2023 온라인 '중남미 취업박람회' 참여학생 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2390
2023-02-13,[ITSA]전남ICT이노베이션스퀘어 교육생 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2389
2023-02-13,[새만금개발공사] 2기 시민기자단 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2388
2023-02-07,"대한상공회의소 [MS] AI School, [RedHat] 하이브리드 클라우드 엔지니어 양성 참여자 모집",https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2385
2023-02-07,2023 국립남도국악원 공연 평가 모니터링단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2384
2023-02-07,특전부사관 54기 4차 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2383
2023-02-07,2023년 나주시 전남청년 문화복지카드 지원사업 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2382
