등록일,제목,링크
2023-03-06,[대학일자리플러스센터]Flow with Friend 프로그램 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19674
2023-03-06,[대학일자리플러스센터] SNS마케팅특강 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19669
2023-03-03,2023년 동신대학교 동신방송국 제2기를 모집합니다.,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19666
2023-03-02,[대학일자리플러스센터] 진로취업 특강+토크쇼 참여자 모집! (에어팟추첨),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19660
2023-03-02,[대학혁신지원사업] 2022년 우수성과공유회 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19657
2023-03-02,2023학년도 1학기 셔틀버스 운행 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19656
2023-03-02,2023학년도 동신대학교 대학안전관리계획 수립 및 시행,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19644
2023-02-28,◈ 2023년도 학군사관후보생(예비후보생) 64기 ∙ 65기 모집 안내 ..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19638
2023-02-24,2023학년도 1학기 교내 통학버스 운행 안내(수정),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19622
2023-02-24,[국제교육원] 새내기를 위한 어학 꿀팁!! 주의사항!!,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19621
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=14618
2023-02-24,2023학년도 1학기 수업운영지침 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19619
2023-02-23,대학가 신학기 출판물 불법복제 예방 협조 요청(문화체육관광부),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19618
2023-02-22,2023학년도 1학기 <추가> 전임교원 특별채용 초빙공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19609
2023-02-22,LG전자 베스트샵과 함께하는 동신대학교 gram 특별행사 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19608
2023-02-22,[대학일자리플러스센터] 진로취업 특강+토크쇼 참여자 모집! (에어팟추첨),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19607
2023-02-21,2023학년도 1학기(2차) 강사 및 비전임교원 공개채용 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19596
2023-02-21,학사관련 규정 제정에 따른 의견수렴,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19592
2023-02-15,인터넷 전용회선 점검에 따른 서비스 중단 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19564
2023-02-15,[학생상담센터] 2023학년 학생상담센터 또래상담자 2기 'Be With..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19562
2023-02-13,동신대학교 국제교육원 한국어 강사 채용 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=7&mode=view&idx=19554
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=14618
2023-02-13,2023학년도 대학일자리플러스센터 취업홍보대사 8기 모집(모집기간 연장),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19551
2023-02-12,[국제교육원]신입생 어학 프로그램 설명회,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19541
2023-02-10,[e-러닝센터] K-MOOC 신규강좌 [언택트 시대의 건강관리 플러스] ..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19535
